ip,score,severity,is_internal,total_requests,breakdown
91.199.12.77,1341,CRITICAL,False,407,"{'failed_login': 35, 'sqli_payload': 90, 'sensitive_api_200': 96, 'admin_endpoint_hit': 80, 'bot_user_agent': 25, 'per_mb_api_traffic': 1000, 'ua_rotation': 15}"
185.23.44.12,330,HIGH,False,386,"{'failed_login': 140, 'sensitive_api_200': 86, 'admin_endpoint_hit': 64, 'bot_user_agent': 25, 'ua_rotation': 15}"
176.88.14.201,275,HIGH,False,363,"{'failed_login': 40, 'sensitive_api_200': 83, 'admin_endpoint_hit': 112, 'bot_user_agent': 25, 'ua_rotation': 15}"
145.67.23.11,273,HIGH,False,383,"{'failed_login': 25, 'sensitive_api_200': 80, 'admin_endpoint_hit': 128, 'bot_user_agent': 25, 'ua_rotation': 15}"
10.0.0.5,271,HIGH,True,390,"{'failed_login': 40, 'sensitive_api_200': 89, 'admin_endpoint_hit': 72, 'deep_admin_hit': 30, 'bot_user_agent': 25, 'ua_rotation': 15}"
10.0.1.14,271,HIGH,True,382,"{'failed_login': 45, 'sensitive_api_200': 82, 'admin_endpoint_hit': 104, 'bot_user_agent': 25, 'ua_rotation': 15}"
198.51.100.20,250,HIGH,False,368,"{'failed_login': 45, 'sensitive_api_200': 77, 'admin_endpoint_hit': 88, 'bot_user_agent': 25, 'ua_rotation': 15}"
10.0.3.77,248,HIGH,True,194,"{'failed_login': 5, 'sensitive_api_200': 53, 'admin_endpoint_hit': 120, 'deep_admin_hit': 30, 'bot_user_agent': 25, 'ua_rotation': 15}"
93.184.216.34,237,HIGH,False,387,"{'failed_login': 40, 'sensitive_api_200': 85, 'admin_endpoint_hit': 72, 'bot_user_agent': 25, 'ua_rotation': 15}"
103.44.55.66,230,HIGH,False,316,"{'failed_login': 45, 'sensitive_api_200': 81, 'admin_endpoint_hit': 64, 'bot_user_agent': 25, 'ua_rotation': 15}"
77.88.99.11,226,HIGH,False,334,"{'failed_login': 10, 'sensitive_api_200': 72, 'admin_endpoint_hit': 104, 'bot_user_agent': 25, 'ua_rotation': 15}"
62.122.55.90,216,HIGH,False,373,"{'failed_login': 20, 'sensitive_api_200': 76, 'admin_endpoint_hit': 80, 'bot_user_agent': 25, 'ua_rotation': 15}"
203.0.113.45,210,HIGH,False,364,"{'failed_login': 20, 'sensitive_api_200': 78, 'admin_endpoint_hit': 72, 'bot_user_agent': 25, 'ua_rotation': 15}"
10.0.2.33,190,MEDIUM,True,194,"{'failed_login': 5, 'sensitive_api_200': 51, 'admin_endpoint_hit': 64, 'deep_admin_hit': 30, 'bot_user_agent': 25, 'ua_rotation': 15}"
