Hujum turi,Severity,Score,IP,Internal,Boshlanishi,Tugashi,Davomiyligi (sek),Davomiyligi,So'rovlar,Bytes,Layer,MITRE
credential_stuffing,CRITICAL,3765,45.142.213.99,False,2026-03-10 02:00:00+00:00,2026-04-23 23:21:00+00:00,3878460,1077h 21m 0s,871,275460,L2_session,T1110.004
data_exfiltration,CRITICAL,3610,159.203.45.21,False,2026-03-10 10:11:00+00:00,2026-04-23 15:19:00+00:00,3820080,1061h 8m 0s,360,325201257,L2_session,T1041
data_exfiltration,CRITICAL,2230,103.44.55.66,False,2026-03-30 02:15:00+00:00,2026-03-30 02:28:47+00:00,827,13m 47s,55,215708209,L1_burst,T1041
anonymizer,CRITICAL,2230,103.44.55.66,False,2026-03-30 02:15:00+00:00,2026-03-30 02:28:47+00:00,827,13m 47s,55,215708209,L4_fingerprint,T1090
anonymizer,CRITICAL,715,185.220.101.42,False,2026-03-20 05:21:00+00:00,2026-04-17 05:58:00+00:00,2421420,672h 37m 0s,86,42272326,L4_fingerprint,T1090
admin_recon,CRITICAL,715,185.220.101.42,False,2026-03-20 05:21:00+00:00,2026-03-25 06:52:00+00:00,437460,121h 31m 0s,4,7602,L2_session,T1087
credential_stuffing,CRITICAL,715,185.220.101.42,False,2026-03-25 02:40:00+00:00,2026-04-09 04:33:00+00:00,1302780,361h 53m 0s,44,15245,L2_session,T1110.004
data_exfiltration,CRITICAL,715,185.220.101.42,False,2026-04-09 03:19:00+00:00,2026-04-17 05:58:00+00:00,700740,194h 39m 0s,38,42249479,L3_long_term,T1041
credential_stuffing,HIGH,305,203.0.113.45,False,2026-04-20 03:12:00+00:00,2026-04-20 03:15:10+00:00,190,3m 10s,65,18254,L1_burst,T1110.004
admin_recon,HIGH,292,176.88.14.201,False,2026-04-12 23:30:00+00:00,2026-04-12 23:31:12+00:00,72,1m 12s,8,13797,L2_session,T1087
credential_stuffing,HIGH,245,185.23.44.12,False,2026-03-15 14:00:00+00:00,2026-03-15 14:03:44+00:00,224,3m 44s,50,13539,L1_burst,T1110.004
anonymizer,HIGH,245,185.23.44.12,False,2026-03-15 14:00:00+00:00,2026-03-15 14:03:44+00:00,224,3m 44s,50,13539,L4_fingerprint,T1090
sql_injection,HIGH,226,91.199.12.77,False,2026-03-22 10:30:00+00:00,2026-03-22 10:32:08+00:00,128,2m 8s,12,77061,L1_burst,T1190
