ip,score,severity,is_internal,total_requests,breakdown
103.44.55.66,1505,CRITICAL,False,40,"{'sensitive_api_200': 40, 'bot_user_agent': 25, 'per_mb_api_traffic': 1420, 'regular_interval': 20}"
159.203.45.21,822,CRITICAL,False,97,"{'sensitive_api_200': 97, 'per_mb_api_traffic': 720, 'off_hours_activity': 5}"
45.142.213.99,779,CRITICAL,False,188,"{'failed_login': 710, 'off_hours_activity': 69}"
185.23.44.12,260,HIGH,False,50,"{'failed_login': 220, 'bot_user_agent': 25, 'high_request_rate': 15}"
10.0.1.50,155,MEDIUM,True,173,"{'sensitive_api_200': 36, 'off_hours_activity': 119}"
91.199.12.77,148,MEDIUM,False,8,"{'sqli_payload': 120, 'sensitive_api_200': 3, 'bot_user_agent': 25}"
188.111.144.66,99,MEDIUM,False,170,"{'sensitive_api_200': 35, 'off_hours_activity': 64}"
188.40.21.15,98,MEDIUM,False,158,"{'sensitive_api_200': 31, 'off_hours_activity': 67}"
95.214.10.5,97,MEDIUM,False,159,"{'sensitive_api_200': 36, 'off_hours_activity': 61}"
84.54.118.33,96,MEDIUM,False,158,"{'sensitive_api_200': 21, 'off_hours_activity': 75}"
10.0.2.40,90,MEDIUM,True,163,"{'sensitive_api_200': 31, 'off_hours_activity': 59}"
46.21.243.78,90,MEDIUM,False,151,"{'sensitive_api_200': 33, 'off_hours_activity': 57}"
94.158.33.21,88,MEDIUM,False,142,"{'sensitive_api_200': 22, 'off_hours_activity': 66}"
92.45.67.123,85,MEDIUM,False,133,"{'sensitive_api_200': 21, 'off_hours_activity': 64}"
82.215.12.99,80,MEDIUM,False,167,"{'sensitive_api_200': 38, 'off_hours_activity': 42}"
78.140.21.5,71,LOW,False,135,"{'sensitive_api_200': 29, 'off_hours_activity': 42}"
176.88.45.12,69,LOW,False,144,"{'sensitive_api_200': 32, 'off_hours_activity': 37}"
203.115.67.89,67,LOW,False,124,"{'sensitive_api_200': 20, 'off_hours_activity': 47}"
62.122.55.90,64,LOW,False,111,"{'sensitive_api_200': 21, 'off_hours_activity': 43}"
85.140.55.66,59,LOW,False,143,"{'sensitive_api_200': 24, 'off_hours_activity': 35}"
213.230.65.12,54,LOW,False,116,"{'sensitive_api_200': 17, 'off_hours_activity': 37}"
91.205.18.77,53,LOW,False,125,"{'sensitive_api_200': 20, 'off_hours_activity': 33}"
37.110.220.45,52,LOW,False,154,"{'sensitive_api_200': 26, 'off_hours_activity': 26}"
